iter	Passed	Remaining
398	152642	229920
399	152953	229429
400	153285	228972
401	153613	228510
402	153930	228031
403	154267	227582
404	154567	227081
405	154909	226641
406	155245	226192
407	155606	225781
408	155968	225371
409	156319	224947
410	156655	224501
411	156967	224022
412	157291	223558
413	157641	223134
414	157996	222717
415	158335	222278
416	158693	221866
417	159037	221434
418	159348	220957
419	159673	220501
420	159972	220010
421	160353	219631
422	160742	219263
423	161047	218780
424	161466	218454
425	161836	218060
426	162345	217855
427	162669	217399
428	162984	216933
429	163328	216505
430	163657	216058
431	164030	215669
432	164444	215334
433	164893	215045
434	165250	214635
435	165631	214256
436	165966	213819
437	166285	213362
438	166597	212895
439	166982	212522
440	167319	212090
441	167666	211669
442	167992	211222
443	168348	210814
444	168666	210359
445	168998	209921
446	169351	209511
447	169679	209069
448	170027	208652
449	170374	208235
450	170725	207822
451	171081	207417
452	171565	207165
453	171928	206768
454	172272	206348
455	172573	205876
456	172881	205414
457	173187	204951
458	173525	204525
459	173814	204043
460	174104	203562
461	174451	203149
462	174788	202724
463	175178	202361
464	175552	201980
465	175875	201539
466	176248	201157
467	176636	200791
468	176972	200367
469	177275	199906
470	177639	199514
471	177994	199112
472	178367	198730
473	178661	198261
474	178979	197818
475	179277	197356
476	179615	196937
477	179972	196538
478	180323	196135
479	180712	195771
480	181081	195387
481	181462	195015
482	181838	194639
483	182192	194238
484	182552	193844
485	182902	193440
486	183219	193001
487	183555	192583
488	183899	192173
489	184216	191735
490	184529	191294
491	184815	190825
492	185151	190408
493	185481	189987
494	185822	189576
495	186198	189201
496	186550	188802
497	186874	188375
498	187234	187984
499	187574	187574
500	187929	187179
501	188261	186761
502	188617	186368
503	188995	185995
504	189318	185569
505	189684	185186
506	190032	184784
507	190348	184353
508	190703	183959
509	191082	183589
510	191488	183244
511	191892	182898
512	192276	182531
513	192593	182101
514	192902	181665
515	193233	181249
516	193559	180830
517	193875	180401
518	194200	179981
519	194537	179572
520	194866	179157
521	195201	178747
522	195508	178312
523	195841	177901
524	196184	177500
525	196642	177202
526	197003	176816
527	197334	176404
528	197655	175984
529	197967	175555
530	198379	175216
531	198702	174798
532	199042	174395
533	199369	173981
534	199712	173582
535	200104	173224
536	200427	172808
537	200795	172430
538	201109	172006
539	201587	171722
540	201945	171336
541	202299	170946
542	202597	170510
543	202905	170082
544	203218	169659
545	203533	169238
546	203862	168829
547	204208	168434
548	204550	168036
549	204877	167626
550	205253	167257
551	205552	166824
552	205875	166413
553	206241	166035
554	206611	165661
555	207022	165319
556	207386	164940
557	207729	164545
558	208085	164160
559	208411	163751
560	208723	163332
561	209078	162947
562	209422	162553
563	209771	162163
564	210154	161800
565	210455	161373
566	210822	160998
567	211205	160635
568	211515	160216
569	211824	159797
570	212145	159387
571	212507	159009
572	212826	158598
573	213121	158170
574	213428	157751
575	213788	157372
576	214152	156995
577	214481	156593
578	214860	156228
579	215208	155840
580	215572	155464
581	215928	155082
582	216253	154678
583	216561	154262
584	216894	153865
585	217251	153484
586	217574	153080
587	217928	152698
588	218302	152329
589	218648	151942
590	219007	151563
591	219339	151166
592	219675	150772
593	220005	150373
594	220337	149977
595	220667	149580
596	221055	149221
597	221378	148819
598	221742	148445
599	222085	148056
600	222408	147655
601	222725	147250
602	223096	146881
603	223415	146477
604	223748	146083
605	224115	145711
606	224450	145319
607	224813	144945
608	225172	144568
609	225516	144182
610	225871	143803
611	226243	143435
612	226542	143020
613	226879	142631
614	227210	142237
615	227567	141860
616	227895	141465
617	228200	141055
618	228606	140709
619	229050	140385
620	229407	140008
621	229720	139605
622	230055	139215
623	230397	138829
624	230765	138459
625	231191	138123
626	231517	137729
627	231827	137324
628	232185	136948
629	232487	136540
630	232812	136145
631	233192	135782
632	233516	135388
633	233852	134999
634	234146	134588
635	234499	134210
636	234842	133827
637	235178	133439
638	235524	133058
639	235819	132648
640	236160	132264
641	236507	131884
642	236792	131469
643	237129	131083
644	237418	130672
645	237904	130368
646	238252	129989
647	238616	129618
648	238999	129258
649	239353	128882
650	239717	128512
651	240046	128123
652	240414	127754
653	240754	127371
654	241117	127000
655	241438	126607
656	241771	126221
657	242100	125833
658	242420	125440
659	242773	125065
660	243054	124652
661	243364	124255
662	243710	123877
663	244013	123476
664	244372	123104
665	244720	122727
666	245044	122338
667	245359	121945
668	245686	121557
669	246015	121171
670	246383	120804
671	246730	120427
672	247027	120026
673	247379	119652
674	247775	119299
675	248148	118934
676	248472	118547
677	248777	118151
678	249108	117767
679	249436	117381
680	249794	117010
681	250160	116643
682	250483	116256
683	250864	115896
684	251281	115553
685	251718	115218
686	252127	114870
687	252465	114489
688	252755	114088
689	253068	113697
690	253379	113305
691	253691	112914
692	254026	112534
693	254381	112162
694	254746	111795
695	255090	111418
696	255420	111036
697	255772	110663
698	256065	110265
699	256393	109882
700	256719	109499
701	257036	109112
702	257349	108723
703	257692	108348
704	258106	108002
705	258460	107630
706	258804	107255
707	259135	106875
708	259431	106480
709	259753	106096
710	260057	105705
711	260459	105354
712	260789	104974
713	261171	104614
714	261481	104226
715	261839	103858
716	262163	103475
717	262478	103090
718	262862	102732
719	263215	102361
720	263550	101984
721	263908	101615
722	264275	101250
723	264630	100881
724	264989	100513
725	265318	100134
726	265656	99758
727	266026	99394
728	266374	99022
729	266739	98657
730	267085	98284
731	267420	97907
732	267757	97532
733	268090	97155
734	268500	96806
735	268804	96419
736	269125	96038
737	269460	95662
738	269773	95278
739	270100	94900
740	270447	94529
741	270799	94159
742	271181	93800
743	271631	93464
744	272025	93109
745	272402	92748
746	272721	92367
747	273123	92014
748	273427	91629
749	273762	91254
750	274104	90881
751	274430	90503
752	274751	90124
753	275061	89741
754	275406	89370
755	275714	88987
756	276003	88598
757	276402	88244
758	276733	87869
759	277054	87491
760	277376	87113
761	277708	86738
762	277984	86346
763	278312	85970
764	278671	85605
765	279176	85283
766	279496	84905
767	279855	84539
768	280215	84173
769	280541	83797
770	280932	83441
771	281318	83083
772	281772	82745
773	282173	82391
774	282520	82022
775	282841	81645
776	283177	81272
777	283512	80899
778	283844	80525
779	284189	80156
780	284514	79780
781	284839	79405
782	285146	79025
783	285489	78655
784	285803	78277
785	286157	77910
786	286487	77537
787	286825	77166
788	287194	76803
789	287546	76436
790	287900	76069
791	288258	75704
792	288583	75330
793	288924	74960
794	289254	74587
795	289568	74211
796	289866	73830
797	290209	73461
798	290586	73101
799	290966	72741
800	291364	72386
801	291778	72035
802	292171	71678
803	292569	71323
804	292884	70947
805	293174	70565
806	293525	70198
807	293820	69818
808	294183	69454
809	294524	69085
810	294851	68713
811	295249	68358
812	295572	67985
813	295902	67613
814	296261	67249
815	296582	66876
816	296899	66502
817	297221	66129
818	297569	65763
819	297882	65388
820	298229	65022
821	298517	64642
822	298835	64269
823	299213	63909
824	299578	63546
825	299867	63168
826	300232	62805
827	300577	62438
828	300923	62072
829	301352	61722
830	301774	61371
831	302095	61000
832	302448	60634
833	302771	60263
834	303115	59897
835	303473	59533
836	303821	59167
837	304192	58805
838	304537	58439
839	304887	58073
840	305218	57704
841	305545	57335
842	305871	56965
843	306248	56605
844	306576	56235
845	306892	55864
846	307226	55496
847	307556	55128
848	307897	54761
849	308227	54393
850	308570	54027
851	308892	53657
852	309212	53287
853	309708	52947
854	310044	52580
855	310419	52220
856	310743	51851
857	311093	51486
858	311419	51117
859	311741	50748
860	312116	50388
861	312403	50013
862	312801	49656
863	313133	49289
864	313472	48923
865	313809	48557
866	314167	48194
867	314502	47827
868	314850	47463
869	315211	47100
870	315542	46733
871	315849	46363
872	316193	45998
873	316505	45628
874	316830	45261
875	317174	44896
876	317487	44527
877	317855	44166
878	318175	43798
879	318482	43429
880	318862	43069
881	319169	42700
882	319551	42341
883	319945	41983
884	320368	41629
885	320687	41262
886	321024	40897
887	321374	40533
888	321677	40164
889	322007	39798
890	322357	39435
891	322727	39074
892	323021	38704
893	323363	38340
894	323678	37973
895	324017	37609
896	324303	37238
897	324631	36873
898	324975	36510
899	325313	36145
900	325668	35783
901	326022	35421
902	326310	35052
903	326646	34688
904	326970	34322
905	327311	33959
906	327647	33595
907	327952	33228
908	328252	32861
909	328560	32495
910	328868	32128
911	329182	31763
912	329459	31394
913	329756	31027
914	330167	30671
915	330485	30306
916	330810	29942
917	331165	29581
918	331592	29226
919	331976	28867
920	332359	28508
921	332763	28151
922	333136	27791
923	333437	27425
924	333776	27062
925	334088	26698
926	334399	26333
927	334746	25971
928	335075	25608
929	335376	25243
930	335707	24880
931	336019	24516
932	336380	24155
933	336693	23792
934	337014	23428
935	337301	23063
936	337642	22701
937	338015	22342
938	338340	21979
939	338677	21617
940	338967	21253
941	339291	20890
942	339632	20529
943	339989	20168
944	340323	19807
945	340735	19450
946	341114	19090
947	341501	18732
948	341949	18376
949	342336	18017
950	342656	17655
951	343027	17295
952	343367	16934
953	343680	16571
954	344036	16211
955	344406	15851
956	344722	15489
957	345033	15126
958	345373	14765
959	345726	14405
960	346060	14044
961	346414	13683
962	346734	13322
963	347090	12961
964	347393	12599
965	347696	12237
966	348025	11876
967	348363	11516
968	348700	11155
969	349053	10795
970	349368	10434
971	349675	10072
972	350004	9712
973	350361	9352
974	350725	8992
975	351133	8634
976	351702	8279
977	352056	7919
978	352388	7558
979	352743	7198
980	353061	6838
981	353390	6477
982	353721	6117
983	354018	5756
984	354329	5395
985	354667	5035
986	354990	4675
987	355321	4315
988	355626	3955
989	355977	3595
990	356297	3235
991	356645	2876
992	356974	2516
993	357317	2156
994	357654	1797
995	357999	1437
996	358331	1078
997	358696	718
998	359029	359
999	359333	0
